NAME,LATITUDE,LONGITUDE,Type
"SAND KEY NOURISHMENT  REEF,#2",27.89111667,-82.85371667,Rf
"SAND KEY NOURISHMENT  REEF,#2",27.8913,-82.85358333,Rf
VETERANS REEF,28.04871667,-83.01388333,Rf
VETERANS REEF,28.04883333,-83.01411667,Rf
VETERANS REEF,28.03333333,-83,Rf
VETERANS REEF,28.04883333,-83.01355,Rf
VETERANS REEF,28.04856667,-83.0135,Rf
"SAND KEY NOURISHMENT  REEF,#2",27.89108333,-82.85355,Rf
"SAND KEY NOURISHMENT  REEF,#2",27.89096667,-82.85375,Rf
"SAND KEY NOURISHMENT  REEF,#2",27.89126667,-82.85376667,Rf
VETERANS REEF,28.04873333,-83.01341667,Rf
VETERANS REEF,28.04886667,-83.01376667,Rf
RUBE ALLYN REEF,27.93191667,-83.0238,Rf
"SAND KEY NOURISHMENT  REEF,#3",27.89178333,-82.85353333,Rf
"SAND KEY NOURISHMENT  REEF,#3",27.89195,-82.85363333,Rf
"SAND KEY NOURISHMENT  REEF,#3",27.89166667,-82.85386667,Rf
VETERANS REEF,28.04833333,-83.0135,Rf
"SAND KEY NOURISHMENT  REEF,#3",27.89208333,-82.85375,Rf
"SAND KEY NOURISHMENT  REEF,#3",27.8921,-82.85355,Rf
INDIAN SHORES REEF,27.8615,-83.03098333,Rf
INDIAN SHORES REEF,27.86143333,-83.03115,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89191667,-82.85335,Rf
INDIAN SHORES REEF,27.86158333,-83.03135,Rf
RUBE ALLYN REEF,27.93206667,-83.0236,Rf
PINELLAS SOUTH REEF,27.72291667,-82.97416667,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89476667,-82.8533,Rf
INDIAN SHORES REEF,27.86171667,-83.03098333,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89463333,-82.8531,Rf
INDIAN SHORES REEF,27.8647,-83.03118333,Rf
INDIAN SHORES REEF,27.86465,-83.031,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89491667,-82.85306667,Rf
INDIAN SHORES REEF,27.86171667,-83.03118333,Rf
"PINELLAS SOUTH REEF,SITE1",27.72298333,-82.9754,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89491667,-82.85338333,Rf
"PINELLAS SOUTH REEF,SITE1",27.72315,-82.97591667,Rf
RUBE ALLYN REEF,27.9321,-83.02381667,Rf
RUBE ALLYN REEF,27.93221667,-83.02355,Rf
"PINELLAS SOUTH REEF,SITE1",27.72276667,-82.97531667,Rf
RUBE ALLYN REEF,27.93238333,-83.0238,Rf
RUBE ALLYN REEF,27.93238333,-83.0236,Rf
"PINELLAS SOUTH REEF,SITE1",27.72288333,-82.97578333,Rf
"PINELLAS SOUTH REEF,SITE1",27.723,-82.97561667,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89486667,-82.8529,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89515,-82.853,Rf
"SAND KEY NOURISHMENT  REEF,#5",27.89503333,-82.8532,Rf
"SAND KEY NOURISHMENT  REEF,1MR6",27.89666667,-82.85301667,Rf
"SAND KEY NOURISHMENT  REEF,1MR6",27.89696667,-82.85288333,Rf
VETERANS REEF,28.0444,-83.01231667,Rf
VETERANS REEF,28.0441,-83.01235,Rf
VETERANS REEF,28.04765,-83.01246667,Rf
VETERANS REEF,28.05047,-83.0124,Rf
VETERANS REEF,28.05036667,-83.01221667,Rf
VETERANS REEF,28.04773333,-83.01208333,Rf
VETERANS REEF,28.04746667,-83.01188333,Rf
NORTH COUNTY REEF (CENTER),28.00038333,-83.0129,Rf
VETERANS REEF,28.04397,-83.01256667,Rf
NORTH COUNTY REEF (NE)-A,28.05966667,-83.01011667,Rf
NORTH COUNTY REEF (NE)-A,28.05805,-83.0103,Rf
NORTH COUNTY REEF (NE)-A,28.05823333,-83.0101,Rf
NORTH COUNTY REEF (NE)-A,28.05843333,-83.01,Rf
NORTH COUNTY REEF (NE)-A,28.05841667,-83.01046667,Rf
NORTH COUNTY REEF (NE)-A,28.05775,-83.00798333,Rf
NORTH COUNTY REEF (NE)-A,28.05808333,-83.0101,Rf
NORTH COUNTY REEF (NE)-A,28.05828333,-83.01028333,Rf
NORTH COUNTY REEF (SOUTH),28.04896667,-83.01261667,Rf
NORTH COUNTY REEF (NE)-A,28.05021667,-83.0119,Rf
NORTH COUNTY REEF (CENTER),28.0496,-83.0122,Rf
NORTH COUNTY REEF (NW),28.05021667,-83.01265,Rf
VETERANS REEF (CENTER),28.04966667,-83.01235,Rf
NORTH COUNTY REEF (CENTER),28.04966667,-83.01255,Rf
CLEARWATER C SITE,28.01423333,-82.89313333,Rf
RUBE ALLYN NORTH,27.93555,-83.02221667,Rf
CLEARWATER C SITE,28.0143,-82.89281667,Rf
NORTH COUNTY REEF (NW-CORNER),28.05828333,-83.01458333,Rf
NORTH COUNTY REEF (SW-CORNER),28.0415,-83.0145,Rf
NORTH COUNTY REEF (SE-CORNER),28.04165,-83.01035,Rf
RUBE ALLYN NORTH,27.93575,-83.02253333,Rf
PINELLAS  II-BUOY SITE,27.87733333,-83.18766667,Rf
CLEARWATER C SITE,28.0145,-82.89276667,Rf
CLEARWATER C SITE,28.01413,-82.89218333,Rf
"CLEARWATER REEF SITE ""C""",28.01418333,-82.89196667,Rf
DUNEDIN REEF SITE 'j',28.05545,-82.90931667,Rf
"CLEARWATER REEF SITE ""M""",28.014,-82.89208333,Rf
DUNEDIN REEF,27.877,-83.18666667,Rf
DUNEDIN,28.05805,-82.91583333,Rf
DUNEDIN - J SITE,28.0586,-82.91555,Rf
DUNEDIN - J SITE,28.05778333,-82.91555,Rf
DUNEDIN - J SITE,28.0575,-82.91555,Rf
DUNEDIN - J SITE,28.05805,-82.91528333,Rf
RUBE ALLYN-SAND KEY BRIDGE,27.92091667,-83.02351667,Rf
RUBE ALLYN,27.9209,-83.0224,Rf
RUBE ALLYN REEF,27.92176667,-83.02168333,Rf
RUBE ALLYN REEF  -ZONE G,27.92216667,-83.02396667,Rf
RUBE ALLYN REEF - ZONE F,27.92097,-83.02468333,Rf
ST. PETERSBURG BAY REEF,27.7855,-82.59766667,Rf
RUBE ALLYN REEF - ZONE F,27.92181667,-83.02468333,Rf
ST. PETE BEACH SITE,27.67866667,-82.86383333,Rf
ST. PETE BEACH SITE,27.6785,-82.864,Rf
ST. PETE BEACH SITE,27.67883333,-82.86383333,Rf
ST. PETE BEACH SITE,27.67866667,-82.86366667,Rf
ST. PETE BEACH SITE,27.6785,-82.86383333,Rf
ST. PETE BEACH SITE,27.6785,-82.86366667,Rf
ST. PETE BEACH SITE,27.67683333,-82.86333333,Rf
ST. PETE BEACH SITE,27.67816667,-82.8635,Rf
ST. PETE BEACH SITE,27.67816667,-82.86366667,Rf
RUBE ALLYN REEF - ZONE I,27.92128333,-83.02206667,Rf
DUNEDIN REEF,28.057,-82.91083333,Rf
RUBE ALLYN,27.92566667,-83.02416667,Rf
RUBE ALLYN,27.92583333,-83.024,Rf
RUBE ALLYN,27.926,-83.02416667,Rf
DUNEDIN REEF,28.057,-82.91116667,Rf
RUBE ALLYN REEF,27.91951667,-83.02595,Rf
RUBE ALLYN REEF,27.9214,-83.02461667,Rf
TARPON SPRINGS REEF,28.1375,-82.93016667,Rf
PIER-60,27.97721667,-82.83055,Rf
MADEIRA REEF,27.77253333,-82.915,Rf
PINELLAS  II,27.87971667,-83.18585,Rf
PINELLAS  II,27.87975,-83.18518333,Rf
RUBE ALLYN,27.92895,-83.02263333,Rf
INDIAN SHORES REEF,27.85813333,-83.02926667,Rf
TARPON SPRINGS REEF,28.1371,-82.92928333,Rf
RUBE ALLYN,27.93691667,-83.02126667,Rf
PINELLAS  II,27.87985,-83.1853,Rf
TARPON SPRINGS REEF,28.13755,-82.92906667,Rf
MADEIRA REEF,27.77058333,-82.91566667,Rf
MADEIRA REEF,27.77386667,-82.9151,Rf
PINELLAS  II,27.87901667,-83.185,Rf
TARPON SPRINGS REEF,28.13665,-82.9295,Rf
MADEIRA REEF,27.77195,-82.91426667,Rf
DUNEDIN,28.0545,-82.90823333,Rf
TREASURE ISLAND,27.75275,-82.88716667,Rf
TARPON SPRINGS REEF,28.05431667,-82.90798333,Rf
PINELLAS  II,27.88021667,-83.18645,Rf
TARPON SPRINGS REEF,28.13736667,-82.92883333,Rf
TREASURE ISLAND,27.77643333,-82.9129,Rf
PINELLAS  II,27.87955,-83.18493333,Rf
TARPON SPRINGS REEF,28.13555,-82.93115,Rf
PINELLAS  II,27.88035,-83.1859,Rf
DUNEDIN,28.05713333,-82.90998333,Rf
PINELLAS  II,27.88065,-83.18626667,Rf
PINELLAS  II,27.8809,-83.18371667,Rf
DUNEDIN,28.0565,-82.90763333,Rf
PINELLAS  II,27.88113,-83.18461667,Rf
DUNEDIN,28.05558333,-82.90886667,Rf
TREASURE ISLAND,27.75218333,-82.88725,Rf
DUNEDIN,27.96511667,-82.90886667,Rf
PINELLAS  II,27.88048333,-83.18535,Rf
TARPON SPRINGS REEF,28.14201667,-82.93523333,Rf
INDIAN SHORES REEF SITE,27.85666667,-83.03,Rf
PINELLAS II REEF,27.87535,-83.1877,Rf
PINELLAS II REEF,27.87981667,-83.18596667,Rf
RUBE ALLYN,27.92765,-83.02321667,Rf
CLEARWATER REEF,27.94,-82.89692,Rf
CLEARWATER REEF,28.01361667,-82.89691667,Rf
RUBE ALLYN REEF,27.928,-83.02371667,Rf
RUBE ALLYN REEF,27.92751667,-83.0231,Rf
RUBE ALLYN REEF,27.9287,-83.02308333,Rf
RUBE ALLYN REEF,27.92915,-83.02288333,Rf
PINELLAS II REEF,27.87978333,-83.18663333,Rf
PINELLAS II REEF,27.87901667,-83.18711667,Rf
ST. PETE BEACH SITE,27.67666667,-82.8625,Rf
MADEIRA REEF,27.77166667,-82.915,Rf
RUBE ALLYN REEF,27.92842,-83.0234,Rf
PINELLAS II - BLACKTHORN,27.87616667,-83.188,Rf
CLEARWATER REEF,28.02598333,-82.88205,Rf
TARPON SPRINGS REEF,28.13521667,-82.9325,Rf
TARPON SPRINGS REEF,28.13646667,-82.93008333,Rf
CLEARWATER REEF,28.0145,-82.89536667,Rf
RUBE ALLYN REEF,28.04341667,-82.92601667,Rf
CLEARWATER REEF,28.015867,-82.895,Rf
RUBE ALLYN REEF,27.93545,-83.02323333,Rf
CLEARWATER REEF,28.01021667,-82.89453333,Rf
DUNEDIN REEF,28.0556,-82.91051667,Rf
DUNEDIN REEF,28.05406667,-82.91075,Rf
CLEARWATER REEF,28.01531667,-82.88908333,Rf
DUNEDIN REEF,28.05333333,-82.90916667,Rf
TREASURE ISLAND REEF,27.74166667,-82.88083333,Rf
TREASURE ISLAND II-SOUTHWEST CLUSTER,27.69356667,-83.29156667,Rf
TREASURE ISLAND II-CENTER CLUSTER,27.69411667,-83.29093333,Rf
TREASURE ISLAND II-SOUTHEAST CLUSTER,27.69368333,-83.29028333,Rf
TREASURE ISLAND II-NORTHEAST CLUSTER,27.6948,-83.29066667,Rf
TREASURE ISLAND II-NORTHWEST CLUSTER,27.69483333,-83.29138333,Rf
OLD BAY WAY BRIDGE REEF #2,27.72145,-82.97647,Rf
OLD BAY WAY BRIDGE REEF #3,27.72145,-82.97397,Rf
OLD BAY WAY BRIDGE REEF #1,27.72145,-82.97522,Rf
INDIAN SHORES CENTER CLUSTER,27.86065,-83.02936667,Rf
INDIAN SHORES SOUTHEAST CLUSTER,27.85995,-83.02895,Rf
INDIAN SHORES SOUTHWEST CLUSTER,27.85986667,-83.0303,Rf
INDIAN SHORES NORTHEAST CLUSTER,27.86111667,-83.02885,Rf
INDIAN SHORES NORTHWEST CLUSTER,27.86101667,-83.03033333,Rf
