  4   90100  1AC    24       SSMANIFO                                                  -94.76940277  26.95505833
  4   10146  3BA A  19              D  7144S  3458W       3099093.81           141784    -95.588306    28.179171
  4   10304  1BA A  19             JB  5350S  2850W       3098485.81           139990    -95.590355    28.174288
  4     466  1BA A  19             JC  4586S  7226W       3102861.81           139226  -95.57684943  28.17183636
  4     945  1BA A  19             JD  4481S  7052W       3102687.81           139121  -95.57739873   28.1715617
  4   10157  1BA A  20              A  1207N  7229W       3087024.81           149273    -95.625078    28.200723
  4   10180  1BA A  20             JA  5294S   501E       3095134.81           139934    -95.600755    28.174402
  4   10563  1BA A  21              A  4200N  5977W       3069932.81           146280  -95.67837961  28.19383993
  4   28043  1BA A  21              B  3286S  3948W       3067903.81           137926  -95.68541014  28.17103161
  4   10195  1BA A  22              A   533S   531E       3047584.81           119333    -95.750047    28.121484
  4   10171  1BA A  23              A  2880S  5284E       3058671.81           121680    -95.715465    28.127085
  4   10220  1BA A  23             JA  7693S  7536E       3056419.81           126493     -95.72203     28.14049
  4   10239  1BA A  23             JB  4850N  3064E       3060891.81           129790    -95.707873    28.149209
  4     874  1BA A  24   TEMP.CAIS.#4   625S   801E       3078994.81           119425  -95.65264742  28.11930096
  4   10158  1BA A  28              A  2682N  2192W       3129507.81           131958    -95.494868    28.149686
  4   10202  1BA A  39              A  4600N  2500W       3066455.81           114200    -95.691984    28.105918
  4    1557  1BA A  39              B  4040S  3791W       3067746.81           107000  -95.68861432  28.08602364
  4   10215  1BA A  40              A  4700N  2000E       3061955.81           114100    -95.705944    28.105992
  4   10231  1BA A  41              2  4100N   600E       3047515.81           114700     -95.75066    28.108753
  4   10203  1BA A  47              A  7897N  7562E       3008873.81            95063    -95.872096    28.057664
  4   10203  2BA A  47              B  7841N  7421E       3009014.81            95119    -95.871655    28.057807
  4   10589  1BA A  51              F  1648S  3160E       3076635.81            88768    -95.662675    28.035207
  4   10424  1BA A  52              A  7433N  6186W       3085981.81            95527    -95.633117    28.053052
  4   10462  1BA A  52              B  7092N  2750E       3092885.81            95868    -95.611694    28.053441
  4   10296  1BA A  52              C  4043N  1397W       3081192.81            98917    -95.647655    28.062749
  4   10508  1BA A  53              D   686N  7473E       3104002.81           102274    -95.576666    28.070161
  4   10509  1BA A  66              E  1413N  6257E       3073538.81            85707    -95.672539    28.027035
  4   10061  1BA A  70              A  7766N  6950W       3007545.81            79354    -95.877512    28.014574
  4   10037  1BA A  76              A  7842S  6311E       2994284.81            63282    -95.919901    27.971356
  4   10037  2BA A  76              B  7739S  6179E       2994416.81            63179    -95.919501    27.971063
  4    2049  1BA A  76              C  7796S  7096E       2993499.81            63236  -95.92233581  27.97128605
  4   10499  1BA A 104              A   620S  5538W       2958613.81            24380    -96.033411    27.866942
  4   10071  1BA A 105              A  1815N  4151W       2973066.81            37785    -95.987635    27.902779
  4   10572  1BA A 105              B  6718S  4348E       2980407.81            30478    -95.965506    27.882169
  4   10176  1BA A 106              A   865S  2488W       2987243.81            24625     -95.94483    27.865589
  4   10148  1BA A 132              A   783S  4276W       2973191.81             8703    -95.989565     27.82282
  4   10075  1BA A 133              A  3929N  4681W       2957756.81            19831    -96.036418    27.854496
  4   10249  1BA A 133              B  5065S  3431E       2965484.81            12985    -96.013057    27.835135
  4   10249  2BA A 133          C-AUX  5072S  3718E       2965197.81            12992    -96.013944    27.835174
  4   10461  1BA A 133              D  6260S  7485W       2960560.81            14180     -96.02819    27.838765
  4   10249  3BA A 133              E  5065S  3293E       2965622.81            12985     -96.01263    27.835125
  2   20475  1BM     2        28 & 23  4788S  1689W          2376466           139118    -90.153957    29.043885
  2   22002  1BM     2             31  9400N  1000E     2384436.5875       145969.468    -90.130117    29.062509
  2   21490  1BM     2             42  5900S  1850E     2383586.5875           140230    -90.132965    29.046752
  2   20058  2BM     2             43  2595S  1779E     2383657.5875           136925    -90.132851    29.037662
  2   22984  1BM     2             50  1623S  3320E       2381907.73           135953  -90.13835827  29.03503922
  2   20454  2BM     2             73    97S  5156W       2380357.37           134427  -90.14325841  29.03088732
  2   21489  1BM     2              9  6033S  4043E     2381393.5875           140363    -90.139823     29.04718
  2   21488  1BM     2             CD  7000S   100E       2385127.73           141330   -90.1281068  29.04973204
  2   20454  1BM     2             CG   200S  5350E     2380086.5875           134530    -90.144102    29.031178
  2   20058  1BM     2             CK  2500S  1850E     2383586.5875           136830    -90.133077    29.037402
  2   20057  2BM     2            FLR  2300S   200E       2385027.73           136630  -90.12857435  29.03681098
  2   22000  1BM     2             SG  8387N   688E       2384539.73         146785.1  -90.12976746  29.06474938
  2   20057  1BM     2              W  2376S    94E       2385133.73           136706   -90.1282402   29.0370169
  2   21874  1BM     3             12  4950S  1400E     2373801.3767           139280    -90.163615    29.044418
  2   20476  2BM     3             13  5900S   651E       2374126.73           140230  -90.16256629  29.04702091
  2   22893  1BM     3             28   271S  2541E     2372660.3767           134601  -90.16733382  29.03158338
