Name,Latitude,Longitude,Latitude_DMS,Longitude_DMS,Type
Cat Ledges NO 4 CL,43.7951 N,69.68863 W,"43° 47' 42.36"" N","69° 41' 19.07"" W",Ledge
Catacomb Rocks,41.29225 N,71.88535 W,"41° 17' 32.1"" N","71° 53' 7.26"" W",Rock
Catch ALL Canyon,26.85121 N,79.76671 W,"26° 51' 4.36"" N","79° 46' 0.16"" W",Canyon
Catch ALL Canyon Lower,26.8191 N,79.76122 W,"26° 49' 8.76"" N","79° 45' 40.39"" W",Canyon
Catherine M Monohan Wreck,34.94833 N,75.71465 W,"34° 56' 53.99"" N","75° 42' 52.74"" W",Wreck
Catons Ledge,27.30972 N,82.94445 W,"27° 18' 34.99"" N","82° 56' 40.02"" W",Ledge
Catris Reefs,27.91667 N,79.98833 W,"27° 55' 0.01"" N","79° 59' 17.99"" W",Reef
Catris Reefs,27.5 N,79.98333 W,"27° 30' 0.0"" N","79° 58' 59.99"" W",Reef
Catumb Rocks,41.29482 N,71.88967 W,"41° 17' 41.35"" N","71° 53' 22.81"" W",Rock
Catumb Rocks NO 3 C,41.29647 N,71.88632 W,"41° 17' 47.29"" N","71° 53' 10.75"" W",Rock
Causeway Reef,26.3821 N,82.01878 W,"26° 22' 55.56"" N","82° 1' 7.61"" W",Reef
CAV Rocks,28.51432 N,94.07405 W,"28° 30' 51.55"" N","94° 4' 26.58"" W",Rock
Caves And Ledges Moorings,26.12932 N,80.09016 W,"26° 7' 45.55"" N","80° 5' 24.58"" W",Ledge
Caves Ledge Reef,29.5757 N,84.20282 W,"29° 34' 32.52"" N","84° 12' 10.15"" W",Reef
Caxambas Pass 14 Miles Reef,25.792 N,81.95408 W,"25° 47' 31.2"" N","81° 57' 14.69"" W",Reef
Caxambas Pass 2. 5 Mile,25.932 N,81.75333 W,"25° 55' 55.2"" N","81° 45' 11.99"" W",Structure
Caxambas Pass 2. 5 Mile,25.93 N,81.76666 W,"25° 55' 48.0"" N","81° 45' 59.98"" W",Structure
Cayman Salvage Master,24.4535 N,81.76633 W,"24° 27' 12.6"" N","81° 45' 58.79"" W",Structure
CB Ledge,33.725 N,76.783 W,"33° 43' 30.0"" N","76° 46' 58.8"" W",Ledge
CB Ledge,34.00999 N,77.76767 W,"34° 0' 35.96"" N","77° 46' 3.61"" W",Ledge
CB Reef,30.29233 N,80.82167 W,"30° 17' 32.39"" N","80° 49' 18.01"" W",Reef
CCA Btwhs,30.2985 N,87.22975 W,"30° 17' 54.6"" N","87° 13' 47.1"" W",Structure
CCA Wfhs,30.29733 N,87.22958 W,"30° 17' 50.39"" N","87° 13' 46.49"" W",Structure
CCA Florida Latimer Reef,29.92433 N,85.55317 W,"29° 55' 27.59"" N","85° 33' 11.41"" W",Reef
CCA Green Reef,28.40622 N,80.30532 W,"28° 24' 22.39"" N","80° 18' 19.15"" W",Reef
CCA Pensacola Reef,30.11217 N,87.195 W,"30° 6' 43.81"" N","87° 11' 42.0"" W",Reef
Cedar Hole,40.97005 N,73.03865 W,"40° 58' 12.18"" N","73° 2' 19.14"" W",Reef
Cedar Island Ledge,42.9753 N,70.59957 W,"42° 58' 31.08"" N","70° 35' 58.45"" W",Reef
Cedar Key,29.12051 N,83.22441 W,"29° 7' 13.84"" N","83° 13' 27.88"" W",Reef
Cedar Key,29.10686 N,83.21493 W,"29° 6' 24.7"" N","83° 12' 53.75"" W",Reef
Cedar Key 1 Reef,29.12657 N,83.22212 W,"29° 7' 35.65"" N","83° 13' 19.63"" W",Reef
Cedar Key 4 Reef,29.14913 N,83.36892 W,"29° 8' 56.87"" N","83° 22' 8.11"" W",Reef
Cedar Key LB Reef,29.12468 N,83.19477 W,"29° 7' 28.85"" N","83° 11' 41.17"" W",Reef
Cedar Key Reef,29.11667 N,83.20833 W,"29° 7' 0.01"" N","83° 12' 29.99"" W",Reef
Cedar Key Reef,28.98355 N,83.19695 W,"28° 59' 0.78"" N","83° 11' 49.02"" W",Reef
Cedar Key Reef Site,29.11048 N,83.43153 W,"29° 6' 37.73"" N","83° 25' 53.51"" W",Reef
Cedar Key Reef Site,29.11367 N,83.42783 W,"29° 6' 49.21"" N","83° 25' 40.19"" W",Reef
Cedar Key Reef Site,29.10185 N,83.22005 W,"29° 6' 6.66"" N","83° 13' 12.18"" W",Reef
Cedar Key Reef Site,28.98183 N,83.2 W,"28° 58' 54.59"" N","83° 12' 0.0"" W",Reef
Cedar Key Reef Site,28.97853 N,83.20165 W,"28° 58' 42.71"" N","83° 12' 5.94"" W",Reef
Cedar Key Reef Site,29.11484 N,83.42447 W,"29° 6' 53.42"" N","83° 25' 28.09"" W",Reef
Cederhurst Reef,38.74642 N,76.48692 W,"38° 44' 47.11"" N","76° 29' 12.91"" W",Reef
Celia Reef,30.08724 N,87.19824 W,"30° 5' 14.06"" N","87° 11' 53.66"" W",Reef
Celtic Crusader,26.79833 N,79.98983 W,"26° 47' 53.99"" N","79° 59' 23.39"" W",Structure
Celtic Ledge,41.02871 N,73.40995 W,"41° 1' 43.36"" N","73° 24' 35.82"" W",Ledge
Century Boat Reef,29.78668 N,85.71152 W,"29° 47' 12.05"" N","85° 42' 41.47"" W",Reef
Century/Cobia Barge,29.97358 N,85.82653 W,"29° 58' 24.89"" N","85° 49' 35.51"" W",Reef
CGD,29.76389 N,84.18667 W,"29° 45' 50.0"" N","84° 11' 12.01"" W",Structure
CH Ledge,30.29945 N,81.04922 W,"30° 17' 58.02"" N","81° 2' 57.19"" W",Ledge
CH Site North Tug,30.30933 N,81.06917 W,"30° 18' 33.59"" N","81° 4' 9.01"" W",Structure
CH Site South Tug,30.3081 N,81.07285 W,"30° 18' 29.16"" N","81° 4' 22.26"" W",Structure
Chamberlain High School,27.86053 N,82.56317 W,"27° 51' 37.91"" N","82° 33' 47.41"" W",Structure
Champion Reef,28.60717 N,82.94 W,"28° 36' 25.81"" N","82° 56' 24.0"" W",Reef
Channel Hump,29.69125 N,93.83937 W,"29° 41' 28.5"" N","93° 50' 21.73"" W",Hump
Channel Marker Reefs,27.33182 N,82.5726 W,"27° 19' 54.55"" N","82° 34' 21.36"" W",Reef
Channel Rock,41.07543 N,73.3576 W,"41° 4' 31.55"" N","73° 21' 27.36"" W",Rock
Channel Rock BRC,41.60138 N,70.33563 W,"41° 36' 4.97"" N","70° 20' 8.27"" W",Rock
Charity Ledges,43.71272 N,69.98985 W,"43° 42' 45.79"" N","69° 59' 23.46"" W",Reef
Charles B Durborow Reef,39.75963 N,74.02856 W,"39° 45' 34.67"" N","74° 1' 42.82"" W",Reef
Charles Deaton Memorial Reef,29.72407 N,85.48572 W,"29° 43' 26.65"" N","85° 29' 8.59"" W",Reef
Charles H Kirbo Reef,30.175 N,81.25417 W,"30° 10' 30.0"" N","81° 15' 15.01"" W",Reef
Charles House Reef,29.88573 N,85.54355 W,"29° 53' 8.63"" N","85° 32' 36.78"" W",Reef
Charles Reef,41.24343 N,72.61957 W,"41° 14' 36.35"" N","72° 37' 10.45"" W",Reef
Charlie Parker Memorial Reef,29.71732 N,85.69198 W,"29° 43' 2.35"" N","85° 41' 31.13"" W",Reef
Charlies Reef,26.5545 N,82.72484 W,"26° 33' 16.2"" N","82° 43' 29.42"" W",Reef
Charlies Ledge,30.16172 N,89.76103 W,"30° 9' 42.19"" N","89° 45' 39.71"" W",Reef
Charlies Reef Char 2,26.5583 N,82.7188 W,"26° 33' 29.88"" N","82° 43' 7.68"" W",Reef
Charlies Reef Twbarg,26.49958 N,82.72447 W,"26° 29' 58.49"" N","82° 43' 28.09"" W",Reef
Charlotte Harbor Reef,26.84584 N,82.08892 W,"26° 50' 45.02"" N","82° 5' 20.11"" W",Reef
Charlotte Harbor Reef,26.84167 N,82.08867 W,"26° 50' 30.01"" N","82° 5' 19.21"" W",Reef
Charlotte Harbor Site B,26.85836 N,82.08826 W,"26° 51' 30.1"" N","82° 5' 17.74"" W",Reef
Charlotte Harbor Site B,26.84981 N,82.08826 W,"26° 50' 59.32"" N","82° 5' 17.74"" W",Reef
Charlottes Reef Rock,26.76395 N,82.457 W,"26° 45' 50.22"" N","82° 27' 25.2"" W",Reef
