Name,Latitude,Longitude,Latitude_DMS,Longitude_DMS,Type
Patch Reef,25.45449 N,80.13711 W,"25° 27' 16.16"" N","80° 8' 13.6"" W",Reef
Patch Reef,25.4573 N,80.13343 W,"25° 27' 26.28"" N","80° 8' 0.35"" W",Reef
Patch Reef,25.45982 N,80.15159 W,"25° 27' 35.35"" N","80° 9' 5.72"" W",Reef
Patch Reef,25.46155 N,80.14617 W,"25° 27' 41.58"" N","80° 8' 46.21"" W",Reef
Patch Reef,25.463 N,80.13815 W,"25° 27' 46.8"" N","80° 8' 17.34"" W",Reef
Patch Reef,25.46476 N,80.12991 W,"25° 27' 53.14"" N","80° 7' 47.68"" W",Reef
Patch Reef,25.46574 N,80.13514 W,"25° 27' 56.66"" N","80° 8' 6.5"" W",Reef
Patch Reef,25.4681 N,80.15104 W,"25° 28' 5.16"" N","80° 9' 3.74"" W",Reef
Patch Reef,25.47094 N,80.14917 W,"25° 28' 15.38"" N","80° 8' 57.01"" W",Reef
Patch Reef,25.47077 N,80.14236 W,"25° 28' 14.77"" N","80° 8' 32.5"" W",Reef
Patch Reef,25.47368 N,80.15068 W,"25° 28' 25.25"" N","80° 9' 2.45"" W",Reef
Patch Reef,25.47422 N,80.14766 W,"25° 28' 27.19"" N","80° 8' 51.58"" W",Reef
Patch Reef,25.48092 N,80.14084 W,"25° 28' 51.31"" N","80° 8' 27.02"" W",Reef
Patch Reef,25.48382 N,80.14224 W,"25° 29' 1.75"" N","80° 8' 32.06"" W",Reef
Patch Reef,25.48614 N,80.1512 W,"25° 29' 10.1"" N","80° 9' 4.32"" W",Reef
Patch Reef,25.48751 N,80.13355 W,"25° 29' 15.04"" N","80° 8' 0.78"" W",Reef
Patch Reef,25.48834 N,80.1424 W,"25° 29' 18.02"" N","80° 8' 32.64"" W",Reef
Patch Reef,25.48943 N,80.12787 W,"25° 29' 21.95"" N","80° 7' 40.33"" W",Reef
Patch Reef,25.49042 N,80.13457 W,"25° 29' 25.51"" N","80° 8' 4.45"" W",Reef
Patch Reef,25.49088 N,80.13987 W,"25° 29' 27.17"" N","80° 8' 23.53"" W",Reef
Patch Reef,25.49379 N,80.13472 W,"25° 29' 37.64"" N","80° 8' 4.99"" W",Reef
Patch Reef,25.4967 N,80.1416 W,"25° 29' 48.12"" N","80° 8' 29.76"" W",Reef
Patch Reef,25.50134 N,80.13195 W,"25° 30' 4.82"" N","80° 7' 55.02"" W",Reef
Patch Reef,25.50424 N,80.1302 W,"25° 30' 15.26"" N","80° 7' 48.72"" W",Reef
Patch Reef,25.50943 N,80.14015 W,"25° 30' 33.95"" N","80° 8' 24.54"" W",Reef
Patch Reef,25.51421 N,80.12391 W,"25° 30' 51.16"" N","80° 7' 26.08"" W",Reef
Patch Reef,25.51629 N,80.12143 W,"25° 30' 58.64"" N","80° 7' 17.15"" W",Reef
Patch Reef,25.5218 N,80.11267 W,"25° 31' 18.48"" N","80° 6' 45.61"" W",Reef
Patch Reef,25.52387 N,80.11803 W,"25° 31' 25.93"" N","80° 7' 4.91"" W",Reef
Patch Reef,25.52526 N,80.1341 W,"25° 31' 30.94"" N","80° 8' 2.76"" W",Reef
Patch Reef,25.52991 N,80.14205 W,"25° 31' 47.68"" N","80° 8' 31.38"" W",Reef
Patch Reef,25.54592 N,80.13735 W,"25° 32' 45.31"" N","80° 8' 14.46"" W",Reef
Patch Reef,25.56193 N,80.12581 W,"25° 33' 42.95"" N","80° 7' 32.92"" W",Reef
Patch Reef,24.88383 N,81.70033 W,"24° 53' 1.79"" N","81° 42' 1.19"" W",Reef
Patch Reef,26.99012 N,80.02497 W,"26° 59' 24.43"" N","80° 1' 29.89"" W",Reef
Patch Reef,24.53528 N,81.47092 W,"24° 32' 7.01"" N","81° 28' 15.31"" W",Reef
Patchreef 0,25.05843 N,80.34657 W,"25° 3' 30.35"" N","80° 20' 47.65"" W",Reef
Patchreeff,24.55839 N,81.37843 W,"24° 33' 30.2"" N","81° 22' 42.35"" W",Reef
Patchwreck,24.55976 N,81.62018 W,"24° 33' 35.14"" N","81° 37' 12.65"" W",Wreck
Paul Jacquin Reef,27.3987 N,80.04965 W,"27° 23' 55.32"" N","80° 2' 58.74"" W",Reef
Paul Mains Reef,30.331 N,81.18367 W,"30° 19' 51.6"" N","81° 11' 1.21"" W",Reef
Paul S Reef,26.64262 N,80.0094 W,"26° 38' 33.43"" N","80° 0' 33.84"" W",Reef
Paulrussel,37.98822 N,74.81373 W,"37° 59' 17.59"" N","74° 48' 49.43"" W",Structure
Pauls Reef,26.65272 N,80.02082 W,"26° 39' 9.79"" N","80° 1' 14.95"" W",Reef
Pavilion Key 6 Mile Reef,25.68833 N,81.46667 W,"25° 41' 17.99"" N","81° 28' 0.01"" W",Reef
Pavilion Key 6 Mile Reef,25.6827 N,81.4635 W,"25° 40' 57.72"" N","81° 27' 48.6"" W",Reef
Pavilion Key Reef,25.69358 N,81.4678 W,"25° 41' 36.89"" N","81° 28' 4.08"" W",Reef
PB Sword Hole,26.1157 N,79.8274 W,"26° 6' 56.52"" N","79° 49' 38.64"" W",Hole
Pbff Reef,26.79435 N,80.0024 W,"26° 47' 39.66"" N","80° 0' 8.64"" W",Reef
PC Barge Towers,30.18588 N,87.22448 W,"30° 11' 9.17"" N","87° 13' 28.13"" W",Reef
Pcmi Barge,30.11658 N,85.82623 W,"30° 6' 59.69"" N","85° 49' 34.43"" W",Reef
Pcmi Barge Site Tires,30.11318 N,85.82613 W,"30° 6' 47.45"" N","85° 49' 34.07"" W",Reef
Pcmi Barge Site Tires,30.12026 N,85.82211 W,"30° 7' 12.94"" N","85° 49' 19.6"" W",Reef
Peanut Island,26.7734 N,80.0433 W,"26° 46' 24.24"" N","80° 2' 35.88"" W",Structure
Peanut Reef,30.13645 N,88.10559 W,"30° 8' 11.22"" N","88° 6' 20.12"" W",Reef
Peanut Reef East,30.13466 N,88.10147 W,"30° 8' 4.78"" N","88° 6' 5.29"" W",Reef
Peck Ledge,41.07509 N,73.3738 W,"41° 4' 30.32"" N","73° 22' 25.68"" W",Ledge
Peck Ledge,41.07507 N,73.36357 W,"41° 4' 30.25"" N","73° 21' 48.85"" W",Ledge
Peck Ledge Light,41.07835 N,73.36817 W,"41° 4' 42.06"" N","73° 22' 5.41"" W",Ledge
Pegasus Tugboat,26.55216 N,82.72358 W,"26° 33' 7.78"" N","82° 43' 24.89"" W",Wreck
Pemaquid Ledge BRC,43.81572 N,69.51965 W,"43° 48' 56.59"" N","69° 31' 10.74"" W",Ledge
Penfield Reef,41.11726 N,73.21853 W,"41° 7' 2.14"" N","73° 13' 6.71"" W",Reef
Penhall II Reef,30.08333 N,87.18333 W,"30° 4' 59.99"" N","87° 10' 59.99"" W",Reef
Penhall Reef,30.092 N,87.19167 W,"30° 5' 31.2"" N","87° 11' 30.01"" W",Reef
Penn Reels Reef,39.61983 N,74.02233 W,"39° 37' 11.39"" N","74° 1' 20.39"" W",Reef
Penn Reels Reef,39.625 N,74.03019 W,"39° 37' 30.0"" N","74° 1' 48.68"" W",Reef
Pennels Reef,26.31967 N,80.068 W,"26° 19' 10.81"" N","80° 4' 4.8"" W",Reef
Pens Fishingforum Reef,30.09537 N,87.1474 W,"30° 5' 43.33"" N","87° 8' 50.64"" W",Reef
Pensacola Bay Fishing Bridge Reef Site,30.11217 N,87.204 W,"30° 6' 43.81"" N","87° 12' 14.4"" W",Reef
Pensacola Bay Fishing Bridge Reef Site,30.112 N,87.16117 W,"30° 6' 43.2"" N","87° 9' 40.21"" W",Reef
Pensbaybr 004,30.29633 N,87.223 W,"30° 17' 46.79"" N","87° 13' 22.8"" W",Structure
Perry Ledge NO 2 A,43.99412 N,68.9414 W,"43° 59' 38.83"" N","68° 56' 29.04"" W",Ledge
PET Wreck,39.32693 N,74.2996 W,"39° 19' 36.95"" N","74° 17' 58.56"" W",Wreck
Pete Brown King Rock,34.365 N,77.41267 W,"34° 21' 54.0"" N","77° 24' 45.61"" W",Rock
Pete Tide II Ship,30.146 N,87.23367 W,"30° 8' 45.6"" N","87° 14' 1.21"" W",Wreck
Pfleuger Reef,25.83488 N,80.08567 W,"25° 50' 5.57"" N","80° 5' 8.41"" W",Reef
Pflueger Reef,25.81062 N,80.0659 W,"25° 48' 38.23"" N","80° 3' 57.24"" W",Reef
Pflueger Reef,25.82023 N,80.0935 W,"25° 49' 12.83"" N","80° 5' 36.6"" W",Reef
Pflueger Reef,25.82535 N,80.0722 W,"25° 49' 31.26"" N","80° 4' 19.92"" W",Reef
Pflueger Reef,25.79012 N,80.06385 W,"25° 47' 24.43"" N","80° 3' 49.86"" W",Reef
Pflueger Reef,25.80552 N,80.06837 W,"25° 48' 19.87"" N","80° 4' 6.13"" W",Reef
Pflueger Reef,25.80785 N,80.06095 W,"25° 48' 28.26"" N","80° 3' 39.42"" W",Reef
Pflueger Reef,25.80638 N,80.08785 W,"25° 48' 22.97"" N","80° 5' 16.26"" W",Reef
Pflueger Reef,25.79912 N,80.08485 W,"25° 47' 56.83"" N","80° 5' 5.46"" W",Reef
Pflueger Reef,25.80303 N,80.08345 W,"25° 48' 10.91"" N","80° 5' 0.42"" W",Reef
Pflueger Reef Site,25.82612 N,80.08464 W,"25° 49' 34.03"" N","80° 5' 4.7"" W",Reef
PG,30.33179 N,81.18716 W,"30° 19' 54.44"" N","81° 11' 13.78"" W",Structure
PG Reef Drop,30.33683 N,81.18922 W,"30° 20' 12.59"" N","81° 11' 21.19"" W",Reef
PG Site Barge,30.33866 N,81.1965 W,"30° 20' 19.18"" N","81° 11' 47.4"" W",Reef
PG Site Culverts,30.33483 N,81.19566 W,"30° 20' 5.39"" N","81° 11' 44.38"" W",Structure
PG Site Mattox Culverts,30.33283 N,81.19483 W,"30° 19' 58.19"" N","81° 11' 41.39"" W",Structure
PG Site Moody Culverts,30.34673 N,81.20998 W,"30° 20' 48.23"" N","81° 12' 35.93"" W",Structure
"Phase 1, Drop",28.78839 N,83.05828 W,"28° 47' 18.2"" N","83° 3' 29.81"" W",Structure
"Phase 4, 2008 Drop",28.79049 N,83.05733 W,"28° 47' 25.76"" N","83° 3' 26.39"" W",Structure
Phil Weintraub Memorial Reef,39.27405 N,74.25601 W,"39° 16' 26.58"" N","74° 15' 21.64"" W",Reef
Philip Cameron JR Reef,38.96318 N,74.68972 W,"38° 57' 47.45"" N","74° 41' 22.99"" W",Reef
Philip Tugboat,30.13283 N,87.22217 W,"30° 7' 58.19"" N","87° 13' 19.81"" W",Wreck
Phillip Wolfe Reef,34.01055 N,77.84472 W,"34° 0' 37.98"" N","77° 50' 40.99"" W",Reef
Phillip Wolfe Reef,34.03033 N,77.86883 W,"34° 1' 49.19"" N","77° 52' 7.79"" W",Reef
Phillips Ledge,43.0574 N,70.6747 W,"43° 3' 26.64"" N","70° 40' 28.92"" W",Ledge
Phinizy Reef,29.90258 N,85.474 W,"29° 54' 9.29"" N","85° 28' 26.4"" W",Reef
Phoenix,26.7597 N,82.47405 W,"26° 45' 34.92"" N","82° 28' 26.58"" W",Structure
PIC Rock,28.79423 N,94.27592 W,"28° 47' 39.23"" N","94° 16' 33.31"" W",Rock
PIC Rock,28.79168 N,94.27715 W,"28° 47' 30.05"" N","94° 16' 37.74"" W",Rock
PIC Rock,28.78872 N,94.28268 W,"28° 47' 19.39"" N","94° 16' 57.65"" W",Rock
PIC Rock,28.78917 N,94.27873 W,"28° 47' 21.01"" N","94° 16' 43.43"" W",Rock
Picket Rock,40.86075 N,73.677 W,"40° 51' 38.7"" N","73° 40' 37.2"" W",Rock
Pickett Ledge,42.55822 N,70.76028 W,"42° 33' 29.59"" N","70° 45' 37.01"" W",Ledge
Pickles Reef,25.94717 N,82.875 W,"25° 56' 49.81"" N","82° 52' 30.0"" W",Reef
Picnic Island Reef,27.83634 N,82.56071 W,"27° 50' 10.82"" N","82° 33' 38.56"" W",Reef
Picnic Island Reef,27.83278 N,82.5601 W,"27° 49' 58.01"" N","82° 33' 36.36"" W",Reef
Piece Reef,39.58211 N,74.1346 W,"39° 34' 55.6"" N","74° 8' 4.56"" W",Reef
PIG Rock,42.28195 N,70.94132 W,"42° 16' 55.02"" N","70° 56' 28.75"" W",Rock
Pigeon Rocks,42.6758 N,70.6207 W,"42° 40' 32.88"" N","70° 37' 14.52"" W",Rock
Pigs Rock,42.28491 N,70.93968 W,"42° 17' 5.68"" N","70° 56' 22.85"" W",Rock
Pilgrim Ledge,42.548 N,70.77287 W,"42° 32' 52.8"" N","70° 46' 22.33"" W",Ledge
Pimelious,25.83597 N,80.08206 W,"25° 50' 9.49"" N","80° 4' 55.42"" W",Structure
Pine Tree Ledge,43.60955 N,70.18247 W,"43° 36' 34.38"" N","70° 10' 56.89"" W",Ledge
Pinellas,27.87901 N,83.185 W,"27° 52' 44.44"" N","83° 11' 6.0"" W",Structure
Pinellas,27.88089 N,83.18371 W,"27° 52' 51.2"" N","83° 11' 1.36"" W",Structure
Pinellas,27.88112 N,83.18461 W,"27° 52' 52.03"" N","83° 11' 4.6"" W",Structure
Pinellas,27.88048 N,83.18535 W,"27° 52' 49.73"" N","83° 11' 7.26"" W",Structure
Pinellas II Reef,27.87982 N,83.18597 W,"27° 52' 47.35"" N","83° 11' 9.49"" W",Reef
Pinellas South Site,27.72427 N,82.97367 W,"27° 43' 27.37"" N","82° 58' 25.21"" W",Structure
Pinellas South Site 5,27.72411 N,82.97683 W,"27° 43' 26.8"" N","82° 58' 36.59"" W",Structure
Pinta Wreck,40.23045 N,73.84375 W,"40° 13' 49.62"" N","73° 50' 37.5"" W",Wreck
Pioneer,25.53198 N,80.0839 W,"25° 31' 55.13"" N","80° 5' 2.04"" W",Structure
Pipe And Pontoon,26.13508 N,80.07976 W,"26° 8' 6.29"" N","80° 4' 47.14"" W",Structure
Pipe Ledge,30.35898 N,80.54808 W,"30° 21' 32.33"" N","80° 32' 53.09"" W",Ledge
Pipe Ledge,30.43017 N,80.50043 W,"30° 25' 48.61"" N","80° 30' 1.55"" W",Ledge
Pipe Reef,30.20708 N,87.1916 W,"30° 12' 25.49"" N","87° 11' 29.76"" W",Reef
Pipe T 33,30.19466 N,87.2425 W,"30° 11' 40.78"" N","87° 14' 33.0"" W",Structure
Pipeline Hump,30.13858 N,88.08478 W,"30° 8' 18.89"" N","88° 5' 5.21"" W",Hump
Piquet Rocks,25.62627 N,79.31461 W,"25° 37' 34.57"" N","79° 18' 52.6"" W",Rock
Pirate Harbor Hole,26.7961 N,82.10163 W,"26° 47' 45.96"" N","82° 6' 5.87"" W",Reef
Pirates Lady Wreck,29.10107 N,84.35485 W,"29° 6' 3.85"" N","84° 21' 17.46"" W",Wreck
Pirates Lady Wreck,29.1055 N,84.352 W,"29° 6' 19.8"" N","84° 21' 7.2"" W",Wreck
Pittman Rock,28.528 N,80.35117 W,"28° 31' 40.8"" N","80° 21' 4.21"" W",Rock
Plane,39.493 N,74.012 W,"39° 29' 34.8"" N","74° 0' 43.2"" W",Structure
Platform,29.2 N,87.95833 W,"29° 12' 0.0"" N","87° 57' 29.99"" W",Platform
Platform,29.52575 N,88.28063 W,"29° 31' 32.7"" N","88° 16' 50.27"" W",Platform
Platform,30.0875 N,87.88333 W,"30° 5' 15.0"" N","87° 52' 59.99"" W",Platform
Platform,41.00072 N,72.64543 W,"41° 0' 2.59"" N","72° 38' 43.55"" W",Platform
Platform,30.0718 N,90.297 W,"30° 4' 18.48"" N","90° 17' 49.2"" W",Platform
Platform,30.06919 N,90.32236 W,"30° 4' 9.08"" N","90° 19' 20.5"" W",Platform
Platform,29.41893 N,89.51376 W,"29° 25' 8.15"" N","89° 30' 49.54"" W",Platform
Platform Margin Reef,24.43808 N,81.90037 W,"24° 26' 17.09"" N","81° 54' 1.33"" W",Reef
Platform Margin Reef,24.44893 N,81.92011 W,"24° 26' 56.15"" N","81° 55' 12.4"" W",Reef
Platform Margin Reef,24.45053 N,81.91748 W,"24° 27' 1.91"" N","81° 55' 2.93"" W",Reef
Platform Margin Reef,24.4514 N,81.92427 W,"24° 27' 5.04"" N","81° 55' 27.37"" W",Reef
Platform Margin Reef,24.45256 N,81.92727 W,"24° 27' 9.22"" N","81° 55' 38.17"" W",Reef
Platform Margin Reef,24.45298 N,82.00158 W,"24° 27' 10.73"" N","82° 0' 5.69"" W",Reef
Platform Margin Reef,24.45598 N,81.97772 W,"24° 27' 21.53"" N","81° 58' 39.79"" W",Reef
Platform Margin Reef,24.45233 N,82.03384 W,"24° 27' 8.39"" N","82° 2' 1.82"" W",Reef
Platform Margin Reef,24.45663 N,81.99918 W,"24° 27' 23.87"" N","81° 59' 57.05"" W",Reef
Platform Margin Reef,24.45822 N,81.8733 W,"24° 27' 29.59"" N","81° 52' 23.88"" W",Reef
Platform Margin Reef,24.45784 N,81.88363 W,"24° 27' 28.22"" N","81° 53' 1.07"" W",Reef
Platform Margin Reef,24.45622 N,81.93058 W,"24° 27' 22.39"" N","81° 55' 50.09"" W",Reef
Platform Margin Reef,24.45817 N,82.05183 W,"24° 27' 29.41"" N","82° 3' 6.59"" W",Reef
Platform Margin Reef,24.46263 N,81.85445 W,"24° 27' 45.47"" N","81° 51' 16.02"" W",Reef
Platform Margin Reef,24.46375 N,81.85022 W,"24° 27' 49.5"" N","81° 51' 0.79"" W",Reef
Platform Margin Reef,24.46457 N,81.98324 W,"24° 27' 52.45"" N","81° 58' 59.66"" W",Reef
Platform Margin Reef,24.44978 N,82.10009 W,"24° 26' 59.21"" N","82° 6' 0.32"" W",Reef
Platform Margin Reef,24.47257 N,81.77063 W,"24° 28' 21.25"" N","81° 46' 14.27"" W",Reef
Platform Margin Reef,24.47378 N,81.91362 W,"24° 28' 25.61"" N","81° 54' 49.03"" W",Reef
Platform Margin Reef,24.47532 N,81.78115 W,"24° 28' 31.15"" N","81° 46' 52.14"" W",Reef
Platform Margin Reef,24.47703 N,81.80753 W,"24° 28' 37.31"" N","81° 48' 27.11"" W",Reef
Platform Margin Reef,24.48045 N,81.83256 W,"24° 28' 49.62"" N","81° 49' 57.22"" W",Reef
Platform Margin Reef,24.4808 N,81.78506 W,"24° 28' 50.88"" N","81° 47' 6.22"" W",Reef
Platform Margin Reef,24.48171 N,81.73361 W,"24° 28' 54.16"" N","81° 44' 1.0"" W",Reef
Platform Margin Reef,24.48395 N,81.72985 W,"24° 29' 2.22"" N","81° 43' 47.46"" W",Reef
Platform Margin Reef,24.47784 N,82.0344 W,"24° 28' 40.22"" N","82° 2' 3.84"" W",Reef
Platform Margin Reef,24.50964 N,81.58292 W,"24° 30' 34.7"" N","81° 34' 58.51"" W",Reef
Platform Margin Reef,24.51361 N,81.58055 W,"24° 30' 49.0"" N","81° 34' 49.98"" W",Reef
Platform Margin Reef,24.51618 N,81.58184 W,"24° 30' 58.25"" N","81° 34' 54.62"" W",Reef
Platform Margin Reef,24.51775 N,81.58471 W,"24° 31' 3.9"" N","81° 35' 4.96"" W",Reef
Platform Margin Reef,24.51851 N,81.59718 W,"24° 31' 6.64"" N","81° 35' 49.85"" W",Reef
Platform Margin Reef,24.52567 N,81.55214 W,"24° 31' 32.41"" N","81° 33' 7.7"" W",Reef
Platform Margin Reef,24.53014 N,81.52497 W,"24° 31' 48.5"" N","81° 31' 29.89"" W",Reef
Platform Margin Reef,24.53259 N,81.49198 W,"24° 31' 57.32"" N","81° 29' 31.13"" W",Reef
Platform Margin Reef,24.53474 N,81.48205 W,"24° 32' 5.06"" N","81° 28' 55.38"" W",Reef
Platform Margin Reef,24.53704 N,81.47533 W,"24° 32' 13.34"" N","81° 28' 31.19"" W",Reef
Platform Margin Reef,24.53877 N,81.47144 W,"24° 32' 19.57"" N","81° 28' 17.18"" W",Reef
Platform Margin Reef,24.54364 N,81.47105 W,"24° 32' 37.1"" N","81° 28' 15.78"" W",Reef
Platform Margin Reef,24.54479 N,81.39589 W,"24° 32' 41.24"" N","81° 23' 45.2"" W",Reef
Platform Margin Reef,24.53973 N,81.44165 W,"24° 32' 23.03"" N","81° 26' 29.94"" W",Reef
Platform Margin Reef,24.54798 N,81.44614 W,"24° 32' 52.73"" N","81° 26' 46.1"" W",Reef
Platform Margin Reef,24.55266 N,81.40285 W,"24° 33' 9.58"" N","81° 24' 10.26"" W",Reef
Platform Margin Reef,24.55346 N,81.42429 W,"24° 33' 12.46"" N","81° 25' 27.44"" W",Reef
Platform Margin Reef,24.55423 N,81.43014 W,"24° 33' 15.23"" N","81° 25' 48.5"" W",Reef
Platform Margin Reef,24.55695 N,81.36698 W,"24° 33' 25.02"" N","81° 22' 1.13"" W",Reef
Platform Margin Reef,24.56472 N,81.3456 W,"24° 33' 52.99"" N","81° 20' 44.16"" W",Reef
Platform Margin Reef,24.56601 N,81.33832 W,"24° 33' 57.64"" N","81° 20' 17.95"" W",Reef
Platform Margin Reef,24.5703 N,81.32479 W,"24° 34' 13.08"" N","81° 19' 29.24"" W",Reef
Platform Margin Reef,24.57296 N,81.31563 W,"24° 34' 22.66"" N","81° 18' 56.27"" W",Reef
Platform Margin Reef,24.57413 N,81.31075 W,"24° 34' 26.87"" N","81° 18' 38.7"" W",Reef
Platform Margin Reef,24.5694 N,81.29565 W,"24° 34' 9.84"" N","81° 17' 44.34"" W",Reef
Platform Margin Reef,24.57714 N,81.30162 W,"24° 34' 37.7"" N","81° 18' 5.83"" W",Reef
Platform Margin Reef,24.57697 N,81.27888 W,"24° 34' 37.09"" N","81° 16' 43.97"" W",Reef
Platform Margin Reef,24.57963 N,81.284 W,"24° 34' 46.67"" N","81° 17' 2.4"" W",Reef
Platform Margin Reef,24.58042 N,81.27395 W,"24° 34' 49.51"" N","81° 16' 26.22"" W",Reef
Platform Margin Reef,24.58282 N,81.27908 W,"24° 34' 58.15"" N","81° 16' 44.69"" W",Reef
Platform Margin Reef,24.5906 N,81.25716 W,"24° 35' 26.16"" N","81° 15' 25.78"" W",Reef
Platform Margin Reef,24.59705 N,81.20155 W,"24° 35' 49.38"" N","81° 12' 5.58"" W",Reef
Platform Margin Reef,24.59922 N,81.25631 W,"24° 35' 57.19"" N","81° 15' 22.72"" W",Reef
Platform Margin Reef,24.60256 N,81.24362 W,"24° 36' 9.22"" N","81° 14' 37.03"" W",Reef
Platform Margin Reef,24.61631 N,81.15629 W,"24° 36' 58.72"" N","81° 9' 22.64"" W",Reef
Platform Margin Reef,24.61871 N,81.18681 W,"24° 37' 7.36"" N","81° 11' 12.52"" W",Reef
Platform Margin Reef,24.62421 N,81.13562 W,"24° 37' 27.16"" N","81° 8' 8.23"" W",Reef
Platform Margin Reef,24.62673 N,81.1449 W,"24° 37' 36.23"" N","81° 8' 41.64"" W",Reef
Platform Margin Reef,24.63214 N,81.1316 W,"24° 37' 55.7"" N","81° 7' 53.76"" W",Reef
Platform Margin Reef,24.63953 N,81.08702 W,"24° 38' 22.31"" N","81° 5' 13.27"" W",Reef
Platform Margin Reef,24.64353 N,81.06337 W,"24° 38' 36.71"" N","81° 3' 48.13"" W",Reef
Platform Margin Reef,24.64754 N,81.05474 W,"24° 38' 51.14"" N","81° 3' 17.06"" W",Reef
Platform Margin Reef,24.65275 N,81.03525 W,"24° 39' 9.9"" N","81° 2' 6.9"" W",Reef
Platform Margin Reef,24.65794 N,81.03557 W,"24° 39' 28.58"" N","81° 2' 8.05"" W",Reef
Platform Margin Reef,24.61987 N,81.13543 W,"24° 37' 11.53"" N","81° 8' 7.55"" W",Reef
Platform Margin Reef,24.66056 N,80.99713 W,"24° 39' 38.02"" N","80° 59' 49.67"" W",Reef
Platform Margin Reef,24.6629 N,80.99165 W,"24° 39' 46.44"" N","80° 59' 29.94"" W",Reef
Platform Margin Reef,24.66601 N,80.99021 W,"24° 39' 57.64"" N","80° 59' 24.76"" W",Reef
Platform Margin Reef,24.66963 N,80.9737 W,"24° 40' 10.67"" N","80° 58' 25.32"" W",Reef
Platform Margin Reef,24.67965 N,80.97169 W,"24° 40' 46.74"" N","80° 58' 18.08"" W",Reef
Platform Margin Reef,24.68252 N,80.9427 W,"24° 40' 57.07"" N","80° 56' 33.72"" W",Reef
Platform Margin Reef,24.68255 N,80.97148 W,"24° 40' 57.18"" N","80° 58' 17.33"" W",Reef
Platform Margin Reef,24.68608 N,80.95973 W,"24° 41' 9.89"" N","80° 57' 35.03"" W",Reef
Platform Margin Reef,24.68816 N,80.95184 W,"24° 41' 17.38"" N","80° 57' 6.62"" W",Reef
Platform Margin Reef,24.69129 N,80.94757 W,"24° 41' 28.64"" N","80° 56' 51.25"" W",Reef
Platform Margin Reef,24.69556 N,80.93759 W,"24° 41' 44.02"" N","80° 56' 15.32"" W",Reef
Platform Margin Reef,24.6937 N,80.90846 W,"24° 41' 37.32"" N","80° 54' 30.46"" W",Reef
Platform Margin Reef,24.70821 N,80.89743 W,"24° 42' 29.56"" N","80° 53' 50.75"" W",Reef
Platform Margin Reef,24.71095 N,80.88166 W,"24° 42' 39.42"" N","80° 52' 53.98"" W",Reef
Platform Margin Reef,24.72107 N,80.83656 W,"24° 43' 15.85"" N","80° 50' 11.62"" W",Reef
Platform Margin Reef,24.73425 N,80.8217 W,"24° 44' 3.3"" N","80° 49' 18.12"" W",Reef
Platform Margin Reef,24.75806 N,80.77316 W,"24° 45' 29.02"" N","80° 46' 23.38"" W",Reef
Platform Margin Reef,24.77377 N,80.74319 W,"24° 46' 25.57"" N","80° 44' 35.48"" W",Reef
Platform Margin Reef,24.77504 N,80.73888 W,"24° 46' 30.14"" N","80° 44' 19.97"" W",Reef
Platform Margin Reef,24.77842 N,80.75012 W,"24° 46' 42.31"" N","80° 45' 0.43"" W",Reef
Platform Margin Reef,24.77951 N,80.7542 W,"24° 46' 46.24"" N","80° 45' 15.12"" W",Reef
Platform Margin Reef,24.78944 N,80.7515 W,"24° 47' 21.98"" N","80° 45' 5.4"" W",Reef
Platform Margin Reef,24.7978 N,80.73763 W,"24° 47' 52.08"" N","80° 44' 15.47"" W",Reef
Platform Margin Reef,24.81324 N,80.68892 W,"24° 48' 47.66"" N","80° 41' 20.11"" W",Reef
Platform Margin Reef,24.81931 N,80.68552 W,"24° 49' 9.52"" N","80° 41' 7.87"" W",Reef
Platform Margin Reef,24.82755 N,80.65976 W,"24° 49' 39.18"" N","80° 39' 35.14"" W",Reef
Platform Margin Reef,24.83529 N,80.65381 W,"24° 50' 7.04"" N","80° 39' 13.72"" W",Reef
Platform Margin Reef,24.83864 N,80.64868 W,"24° 50' 19.1"" N","80° 38' 55.25"" W",Reef
Platform Margin Reef,24.86112 N,80.61331 W,"24° 51' 40.03"" N","80° 36' 47.92"" W",Reef
Platform Margin Reef,24.87212 N,80.58661 W,"24° 52' 19.63"" N","80° 35' 11.8"" W",Reef
Platform Margin Reef,24.87538 N,80.59858 W,"24° 52' 31.37"" N","80° 35' 54.89"" W",Reef
Platform Margin Reef,24.87047 N,80.59871 W,"24° 52' 13.69"" N","80° 35' 55.36"" W",Reef
Platform Margin Reef,24.88568 N,80.58567 W,"24° 53' 8.45"" N","80° 35' 8.41"" W",Reef
Platform Margin Reef,24.88927 N,80.58134 W,"24° 53' 21.37"" N","80° 34' 52.82"" W",Reef
Platform Margin Reef,24.89139 N,80.57755 W,"24° 53' 29.0"" N","80° 34' 39.18"" W",Reef
Platform Margin Reef,24.89449 N,80.57302 W,"24° 53' 40.16"" N","80° 34' 22.87"" W",Reef
Platform Margin Reef,24.89741 N,80.56559 W,"24° 53' 50.68"" N","80° 33' 56.12"" W",Reef
Platform Margin Reef,24.90152 N,80.56816 W,"24° 54' 5.47"" N","80° 34' 5.38"" W",Reef
Platform Margin Reef,24.90429 N,80.55384 W,"24° 54' 15.44"" N","80° 33' 13.82"" W",Reef
Platform Margin Reef,24.90536 N,80.53149 W,"24° 54' 19.3"" N","80° 31' 53.36"" W",Reef
