id,name,lat,lng,type
6667,Sunny Isles Reef,25.85635,-80.07657,Reef
6668,Sunny Isles Reef,25.9085,-80.09717,Reef
6669,Sunny Isles Reef,25.87833,-80.09055,Reef
6670,Sunny Isles Reef,25.86805,-80.09722,Reef
6671,Super Deep Hole,34.65,-75.49,Hole
6672,Super Ledge,29.38028,-83.76125,Ledge
6673,Susan TAY Fruitticher Reef,30.06327,-87.19202,Reef
6674,Susans Rock,39.59575,-72.11829,Rock
6675,Susie S Red Snapper Hole,27.79493,-83.79095,Hole
6676,Susies Fishing Hole,28.62795,-80.32761,Hole
6677,Susies Ledge,34.294,-77.60287,Ledge
6678,Suwanne Reef E,29.08467,-83.4065,Reef
6679,Suwannee Reef,29.146,-83.4965,Reef
6680,Suwannee Reef,29.19717,-83.51783,Reef
6681,Suwannee Reef,28.9915,-83.38967,Reef
6682,Suwannee Reef,29.03178,-83.35802,Reef
6683,Suwannee Reef,29.05595,-83.39325,Reef
6684,Suwannee Reef,29.05283,-83.43717,Reef
6685,Suwannee Reef,29.11533,-83.47267,Reef
6686,Suwannee Reef A,28.98463,-83.3216,Reef
6687,Suwannee Reef D,29.04367,-83.35715,Reef
6688,Suwannee Reef E,29.0845,-83.40317,Reef
6689,Suwannee Regional Reef,29.07182,-83.39215,Reef
6690,Suwannee Regional Reef,29.02112,-83.34978,Reef
6691,Suwannee Regional Reef,29.068,-83.449,Reef
6692,Suwannee Regional Reef,29.09627,-83.4129,Reef
6693,Suwannee Regional Reef,28.98635,-83.31772,Reef
6694,Suwannee Regional Reef,29.04473,-83.35417,Reef
6695,Suwannee Regional Reef,29.30726,-83.50266,Reef
6696,Suwannee Regional Reef,29.34799,-83.52838,Reef
6697,Suwannee Regional Reef,29.25269,-83.4934,Reef
6698,Suwannee Reef,29.19115,-83.48467,Reef
6699,SW 100 Foot Reef,30.30198,-86.5917,Reef
6700,SW Bigrock,34.16006,-76.19421,Rock
6701,SW End Of Ledge,30.52662,-81.17088,Ledge
6702,SW Hole,33.86368,-76.42943,Hole
6703,SW Ledge,34.39463,-76.89862,Ledge
6704,SW Ledge,34.43166,-76.90667,Ledge
6705,SW Ledge,41.11183,-71.672,Ledge
6706,SW Of Big Carlos Pass,26.37556,-81.91806,Structure
6707,Swansb Hole,33.83386,-76.53816,Hole
6708,Swansboro Hole,33.83003,-76.55037,Hole
6709,Swansboro Hole,33.9575,-76.38883,Hole
6710,Swansboro Rotary Club Reef,34.53568,-76.97455,Reef
6711,Swansboro Rotary Club Reef,34.53833,-76.97555,Reef
6712,Swingle Reef,29.06907,-87.09372,Reef
6713,Swingle Reef,29.4024,-87.59372,Reef
6714,Swingle Reef,29.41933,-87.59333,Reef
6715,Switch 0 VER Reef,29.50833,-94.89167,Reef
6716,Swordfish,26.47833,-80.03883,Structure
6717,Swordfish Hole,26.15,-79.92083,Hole
6718,Swordfish Hole,26.19167,-79.8625,Hole
6719,Swordfish Ledge,34.22616,-75.84749,Ledge
6720,Swordfish Ledge,24.29503,-80.70276,Ledge
6721,Swordfish Ledge Center,34.87539,-75.31449,Ledge
6722,Swordfish Ledge NE,34.88412,-75.30024,Ledge
6723,Swordfish Ledge SW,34.86173,-75.3411,Ledge
6724,Swpc Tip,34.794,-75.404,Structure
6725,Sylvia Tugboat,30.185,-87.23667,Wreck
6726,Sylvina Express,26.7945,-79.98617,Structure
6727,T S Wreck,25.18693,-80.23987,Wreck
6728,T Square Reef,29.62521,-85.92836,Reef
6729,T Square Reef,29.61805,-85.91805,Reef
6730,T 33 Airplane,30.11995,-85.77463,Structure
6731,Table Rock,34.40012,-76.9567,Rock
6732,Table Top Ledge,30.32256,-81.12803,Ledge
6733,Tacoma,25.70016,-80.08445,Structure
6734,Tacos Rocks,29.2112,-85.66212,Rock
6735,Tangier Ledge,37.78216,-76.09097,Ledge
6736,Tangier Sound Reef,37.92023,-75.94436,Reef
6737,Tank,30.14575,-86.38678,Structure
6738,Tank,30.36055,-86.58967,Structure
6739,Tank,29.84063,-87.74682,Structure
6740,Tank,29.86276,-87.76806,Structure
6741,Tank,29.87245,-87.7517,Structure
6742,Tank,29.87678,-87.73518,Structure
6743,Tank,29.88905,-87.75367,Structure
6744,Tank,29.89455,-87.72073,Structure
6745,Tank,29.90583,-87.7555,Structure
6746,Tank,29.91062,-87.72217,Structure
6747,Tank,29.9228,-87.75645,Structure
6748,Tank,29.92733,-87.72348,Structure
6749,Tank,29.93475,-87.58183,Structure
6750,Tank,29.94353,-87.74183,Structure
