name,type,category,region,latitude,longitude
Dicks Hole,Hole,Holes,Florida to California,25.50402,-82.23193
Dixie Honey Hole,Hole,Holes,Florida to California,30.62099,-80.42305
Donaldson Hole,Hole,Holes,Florida to California,27.21418,-80.09700
Dredge Hole,Hole,Holes,Florida to California,26.19862,-80.08083
Dredge Hole,Hole,Holes,Florida to California,26.20028,-80.07612
Dredge Hole,Hole,Holes,Florida to California,26.24000,-80.06917
Dredge Hole,Hole,Holes,Florida to California,26.24750,-80.07555
Dredge Hole,Hole,Holes,Florida to California,26.37000,-80.05972
Dredge Hole,Hole,Holes,Florida to California,26.93783,-80.05900
East Bay Hole,Hole,Holes,Florida to California,30.10753,-85.57045
Edge Hole,Hole,Holes,Florida to California,29.88333,-87.22667
Edge Hole,Hole,Holes,Florida to California,29.90333,-87.22667
Edge Hole,Hole,Holes,Florida to California,29.91167,-87.20000
Edge Hole,Hole,Holes,Florida to California,30.10183,-87.18133
Fabiens Hole,Hole,Holes,Florida to California,27.57127,-82.88305
Falcons Hole,Hole,Holes,Florida to California,30.04964,-81.21923
Finks Grouper Hole,Hole,Holes,Florida to California,26.41158,-80.05135
Firemans Hole,Hole,Holes,Florida to California,26.49978,-96.50462
Ginger Hole,Hole,Holes,Florida to California,29.25335,-80.34118
Good Fish Honey Hole,Hole,Holes,Florida to California,30.36379,-80.57530
Good Hole,Hole,Holes,Florida to California,25.67240,-79.32180
Good Hole,Hole,Holes,Florida to California,29.82630,-84.53830
Good Hole,Hole,Holes,Florida to California,30.13675,-87.37992
Good Hole,Hole,Holes,Florida to California,30.14097,-87.46480
Grahams Snapper Hole,Hole,Holes,Florida to California,27.46165,-83.03258
Graigs Hole,Hole,Holes,Florida to California,24.98153,-82.00805
Green S Hole,Hole,Holes,Florida to California,30.14065,-87.18478
Greens Hole,Hole,Holes,Florida to California,30.13950,-87.17967
Greens Hole,Hole,Holes,Florida to California,30.14033,-87.18383
Greens Hole GPS,Hole,Holes,Florida to California,30.18467,-87.07800
Grouper Hole,Hole,Holes,Florida to California,26.48500,-80.04000
Grouper Hole,Hole,Holes,Florida to California,26.94260,-80.04337
Grouper Hole,Hole,Holes,Florida to California,26.94607,-80.04915
Grouper Hole,Hole,Holes,Florida to California,28.00157,-84.16415
Grouper Hole,Hole,Holes,Florida to California,29.91390,-87.20495
Grouper Hole,Hole,Holes,Florida to California,29.94167,-87.12500
Grouper Hole,Hole,Holes,Florida to California,30.14678,-87.18412
Grouper Hole GPS,Hole,Holes,Florida to California,29.90850,-87.20833
Gully Hole,Hole,Holes,Florida to California,30.20425,-87.14809
Gully Hole,Hole,Holes,Florida to California,30.21080,-87.14667
Guppy Hole,Hole,Holes,Florida to California,26.87632,-80.01405
Hales Hole,Hole,Holes,Florida to California,29.89810,-85.52540
Hawk Hole Middle,Hole,Holes,Florida to California,28.85663,-80.32533
Hawk Hole North,Hole,Holes,Florida to California,28.87917,-80.32812
Hawk Hole South,Hole,Holes,Florida to California,28.85610,-80.31868
Herman's Hole,Hole,Holes,Florida to California,24.65050,-81.03133
Hogfish Hole,Hole,Holes,Florida to California,26.64320,-80.02152
Hole,Hole,Holes,Florida to California,27.53852,-82.90670
Hole,Hole,Holes,Florida to California,27.72950,-83.15967
Hole,Hole,Holes,Florida to California,27.77083,-83.14200
Hole,Hole,Holes,Florida to California,30.12168,-80.57498
Hole,Hole,Holes,Florida to California,30.13597,-87.17150
Hole 1,Hole,Holes,Florida to California,27.33702,-83.33213
Hole A,Hole,Holes,Florida to California,29.88753,-80.59317
Hole EA,Hole,Holes,Florida to California,30.56818,-80.31252
Hole IN The Bottom,Hole,Holes,Florida to California,28.60640,-80.35118
Hole IN The Wall,Hole,Holes,Florida to California,26.89370,-79.98582
Hole IN The Wall,Hole,Holes,Florida to California,27.16160,-80.16390
Hole M 2,Hole,Holes,Florida to California,30.32990,-80.47465
Hole OK,Hole,Holes,Florida to California,30.34820,-80.44135
Hole The,Hole,Holes,Florida to California,25.53333,-79.36250
Hole The,Hole,Holes,Florida to California,25.62500,-79.35833
Hole The,Hole,Holes,Florida to California,27.20610,-80.12333
Holes,Hole,Holes,Florida to California,30.50013,-80.25925
Hopper Hole,Hole,Holes,Florida to California,29.88150,-80.60667
Jamies Hole,Hole,Holes,Florida to California,30.24970,-87.14700
JC Hole,Hole,Holes,Florida to California,30.12824,-86.83155
Jimmie D Hole,Hole,Holes,Florida to California,29.90667,-87.25833
Johns Honey Hole,Hole,Holes,Florida to California,30.00392,-80.36464
Junk Hole,Hole,Holes,Florida to California,27.25067,-80.13283
Jupiter Dredge Hole,Hole,Holes,Florida to California,26.94083,-80.06500
Justins 13 Fathom Hole,Hole,Holes,Florida to California,28.51538,-83.54503
Keyhole,Hole,Holes,Florida to California,32.43250,-117.29630
Kingfish Hole,Hole,Holes,Florida to California,27.11362,-80.12278
